Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Horsfeld	Chisana - Nabensa	Fairbanks-North Star	AK	-141.218	62.051	21a	Porphyry Cu-Mo			Porphyry Cu	late 1960s		no		no	no	no	no	no				"60,000,000"	metric t	unk	unk	0.1 to 0.2	no	no	Molybdenum	"Young and others, 1997"			no	no	no	no	no	no	"60,000"	unk	unk	54 to 108	no	no								
Hot Springs (Tofty)	Hot Springs	Yukon-Koyokuk	AK	-151.000	65.167	39a	Placer Au-PGE	39e	Placer Sn		1906	1909-1975			"568,632"	unk	no	no	no	"720,000 lbs cassiterite"	"Bundtzen and others, 1996"											Includes Eureka and Tofty.			17.7	unk	no	no	no							AKPL	AK754  	62					
"Hughes (Koyukuk, Hogatza)"	Koyukuk - Hughes	Yukon-Koyokuk	AK	-155.000	65.830	39a	Placer Au-PGE				by 1890s	1930-1995			"231,888"	unk	no	no	no		"Bundtzen and others, 1996"														7.2	unk	no	no	no							AKPL	AK753	50					
Iditarod	Iditarod	Yukon-Koyokuk	AK	-158.500	62.500	39a	Placer Au-PGE				1908	1908-1995			"1,561,524"	"218,000"	no	no	no	55 kg mercury	"Bundtzen and Miller, 1997"														48.6	7	no	no	no							AKPL	AK755	65					
Illinois Creek	Kaiyuh	Nome	AK	-158.000	64.080	22c	"Vein, polymetallic"	19a	Polymetallic replacement	Polymetallic vein and replacement	1980	1997-	unk		unk	unk	no	no	no			1996	"6,219,470"	short t	0.06	1.4	no	no	no		USMX SEC 1996 Form 10K	"An additional 575,000 short t material with 0.015 to 0.025 opt Au. Production began 1997, no data yet."	USMX	unk	unk	unk	no	no	no	"5,642"	12.4	279	no	no	no	AKPV	AK565B	75			May-97		USMX SEC Form 10K
Innoko	Innoko - Tolstoi	Yukon-Koyokuk	AK	-156.500	63.500	39a	Placer Au-PGE				1906	1906-1995			"593,000"	"65,000"	no	no	no		"Bundtzen and Miller, 1997"														18.4	2.0	no	no	no							AKPL	AK753 AK755	46					
Johnson River	Redoubt	Kenai Peninsula	AK	-152.950	60.117	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide			no		no	no	no	no	no				"1,100,000"	short t	0.32	0.2	0.8	1.2	8.4		"Bundtzen and others, 1996"		Westmin Resources - Cook Inlet Region	no	no	no	no	no	no	998	11.0	8.2	8	12	84	AKKU	AK664	29			Yes		
Jumbo	Ketchikan	Prince of Wales and Outer Ketchikan	AK	-132.619	55.253	18b	"Skarn, Cu"			"Cu, Au, and Pb-Zn skarn"	1897	1907-1919	"125,000"	short t	"7,000"	"280,000"	"10,000,000"	no	no		"Bundtzen and others, 1996"		"650,000"	short t	0.01	0.1	0.8	no	no	45.2% Fe	"Bundtzen and others, 1996"	Estimated resources include 267 kt Fe.		113	0.2	8.7	4.5	no	no	590	0.2	1.6	4	no	no	AKSK3	AK537	84					
Kantishna	Kantishna	Denali	AK	-150.830	63.667	39a	Placer Au-PGE				1903	1903-1995			"91,401"	unk	no	no	no		"Cobb, 1973; Nokleberg and others, 1987"														2.8	unk	no	no	no							AKPL	AK774	73					
Kennecott	Nizina (Kennecott)	Valdez-Cordova	AK	-142.840	61.528		Kennecott-type Cu	23	Basaltic Cu		1900	1911-1938	"4,800,000"	short t	unk	"10,000,000"	"1,200,000,000"	no	no		"Bundtzen and others, 1996"											"Includes Jumbo, Bonanza, Erie, Mother Lode, and Green Butte mines."		"4,350"	unk	311	544	no	no							AKBC	AK581	01					
