Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Granite	Granite	Grant	OR	-118.413	44.847	22c	"Vein, polymetallic, Au-Ag"		Blue Mtns model	Polymetallic vein and replacement	1874	1874-1965	">104,000"	short t	">128,000"	">279,000"	"4,724"	no	no		"Brooks and Ramp, 1968"		unk		unk	unk	no	no	no			Production records incomplete; silver production estimated in part from fineness of bullion	 	>94	>4	>9	neg	no	no		unk	unk	no	no	no	PMV	PMVG	14	609				
Granite	Granite	Grant	OR	-118.391	44.823	39a	Placer Au-PGE				1862	1862-1959			"121,000"	unk	no	no	no		"Koschmann and Bergendahl, 1968"		unk		unk	unk	no	no	no						4	unk	no	no	no		unk	unk	no	no	no	PLAC	PLAC	29	494				
Grassy Mountain - Crabgrass		Malheur	OR	-117.360	43.669	25a	Hot-spring Au-Ag				1988		no		no	no	no	no	no			1990	"17,817,000"	short t	0.06	0.15	no	no	no		Atlas Corp. 1996 SEC Form 10K		Atlas	no	no	no	no	no	no	"16,200"	33	83	no	no	no	HTSG	PC30	01	380			Being promoted	Atlas Corp. SEC Form 10K
Greenback	Greenback	Josephine	OR	-123.306	42.654	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1897	1897-1940	unk		"182,000"	unk	no	no	no		"Brooks and Ramp, 1968"	1993	"92,500"	short t	0.68	unk	no	no	no		AMH 1993 entry for First International Metals	 	First International Metals	108	6	unk	no	no	no	84	2	unk	no	no	no	LSGQ	PC40	01	391				
Greenhorn	Greenhorn	Baker	OR	-118.417	44.700	39a	Placer Au-PGE					-1946			"76,000"	unk	no	no	no		"Brooks and Ramp, 1968"		unk		unk	unk	no	no	no						2	unk	no	no	no		unk	unk	no	no	no	PLAC	PLAC	31	496				
Greenhorn	Greenhorn	Baker/Grant	OR	-118.408	44.710	22c	"Vein, polymetallic, Au-Ag"		Blue Mtns model	Polymetallic vein and replacement	1877	1892-1937	">119,000"	short t	">168,000"	">175,000"	no	no	no		"Brooks and Ramp, 1968"		unk		unk	unk	no	no	no			Production records incomplete; silver production estimated in part from fineness of bullion	 	108	>5	>5	no	no	no		unk	unk	no	no	no	PMV	PMVG	16	611				
Hope Butte		Malheur	OR	-117.457	44.078	25a	Hot-spring Au-Ag				1951		no		no	no	no	no	no			1992	"8,000,000"	short t	0.03	unk	no	no	no		Randol 1996	Geologic resource.	Horizon Gold	no	no	no	no	no	no	"7,260"	8	unk	no	no	no								
Iron Dyke	Seven Devils	Baker	OR	-116.849	45.026	28a	"Massive sulfide, kuroko"		Massive sulfide fragments in laharic breccia	Volcanic-associated massive sulfide	1897	1910-1934	"300,000"	short t	"51,000"	"297,000"	"17,600,000"	no	no		"Brooks and Ramp, 1968; USBM Minerals Yearbooks 1984 to 1987"	1988	"264,000"	short t	0.24	0.70	2.15	no	no		"Juhas and others, 1980"	Production estimated in part assuming 90% metal recovery.  Reserve calculated by deducting 1980 to 1987 production from 1979 reserve estimate.	Silver King Mines	272	1.6	9	8	no	no	239	2	6	5	no	no	KVMS	PC13	02	367				
Mormon Basin 	Mormon Basin	"Baker, Malheur"	OR	-117.555	44.425	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1863	1901-1934	unk		"125,000 to 135,000"	"75,000 to 150,000"	no	no	no		"Brooks, 1969"		unk		unk	unk	no	no	no			 	 	unk	3.9 to 4.2	2.3 to 4.7	no	no	no	unk	unk	unk	no	no	no	LSGQ	PC38	04	390				
Quartz Mountain		Lake	OR	-120.800	42.300	25a	Hot-spring Au-Ag 				by 1979		no		no	no	no	no	no			1994	"100,000,000"	short t	0.03	unk	no	no	no		AMH 1996 entry for Newmont Gold	Geologic resource.	Newmont Gold	no	no	no	no	no	no	"91,000"	78	unk	no	no	no	HTSG	PC28	01	378			Being promoted	
Racey		Malheur	OR	-117.719	44.422	25a	Hot-spring Au-Ag				by 1989		no		no	no	no	no	no			1996	"90,000,000"	short t	0.02	unk	no	no	no		AMH 1997 entry for Ican Minerals	Potential resource	Ican Minerals	no	no	no	no	no	no	"82,000"	62	unk	no	no	no							Yes	
Rock Creek	Rock Creek	Baker	OR	-118.070	44.853	22c	"Vein, polymetallic, Au-Ag"		Blue Mtns model	Polymetallic vein and replacement	1882	-1938	">61,000"		">76,000"	unk	no	no	no		"Brooks and Ramp, 1968"		unk		unk	unk	no	no	no				 	>55	>2.4	unk	no	no	no		unk	unk	no	no	no	PMV	PMVG	13	608				
Sanger	Eagle Creek	Baker	OR	-117.408	44.994	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1870	1870-1897	unk		"73,000"	neg	no	no	no		"Brooks and Ramp, 1968"		unk		unk	unk	no	no	no			 	 	unk	2	neg	no	no	no	unk	unk	unk	no	no	no	LSGQ	PC38	01	387				
Sumpter Placer	Sumpter Placer	Baker	OR	-118.206	44.744	39a	Placer Au-PGE				1862	1913-1954	"60,625,514"	cu yds	"296,906"	"70,983"	no	no	no		"Brooks and Ramp, 1968"		unk		unk	unk	no	no	no						9	2	no	no	no		unk	unk	no	no	no	PLAC	PLAC	30	495				
Turner-Albright	Waldo	Josephine	OR	-123.757	42.007	24a	"Massive sulfide, Cyprus"			Volcanic-associated massive sulfide	1898		unk		neg	neg	no	no	no		 	1995	"4,000,000"	short t	0.11	0.44	1.46	unk	3.33	0.055% Co	Randol 1996	 	Baretta Mining (Savanna Resources - Rhonda Mining)	unk	neg	neg	no	no	no	"3,600"	14	55	53	unk	121	CVMS	PC10	01	364				
Upper Applegate	Upper Applegate	Jackson	OR	-122.939	42.230	39a	Placer Au-PGE				1853	1853-1941			">194,000"	unk	no	no	no		"Brooks and Ramp, 1968"	1942	"1,500,000"	cu yds	.01 to .03	unk	no	no	no		"Brooks and Ramp, 1968"				>6	unk	no	no	no		>0.5	unk	no	no	no	PLAC	PLAC	37	502				
Virtue 	Virtue	Baker	OR	-117.697	44.793	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1862	1862-1937	unk		"165,000"						"Brooks and Ramp, 1968"		unk		unk	unk	no	no	no			 	 	unk	5	unk	no	no	no	unk	unk	unk	no	no	no	LSGQ	PC38	02	388				
Waldo-Takilma	Waldo 	Josephine	OR	-123.563	42.115	39a	Placer Au-PGE				1853	1853-1942			">194,000"	unk	no	no	no		"Brooks and Ramp, 1968"		unk		unk	unk	no	no	no						>6	unk	no	no	no		unk	unk	no	no	no	PLAC	PLAC	38	503				
Cornwall	Cornwall	Lebanon	PA	-76.403	40.269	18d	"Skarn, Fe "			Fe skarn	1732	1742-1973	">100,000,000"	short t	"67,000"	"443,000"	"573,200,000"	no	no	"Cobalt, iron, pyrites"	"Lapham, 1968; Smith and others, 1988"											"Production of iron began in 1742, Cu, Au, Ag in 1908."	 	">91,000"	2	14	260	no	no							NONE	NONE	23	274				
Friedensville	Friedensville	Lehigh	PA	-75.405	40.554	32	Mississippi Valley	32b	Appalachian Zn	Mississippi Valley-type Pb-Zn	~1830	1847-1983	"13,600,000"	short t	no	no	no	no	"1,650,000,000"		"Callahan 1968; Metsger and others, 1973; Smith, 1977; New Jersey Zinc SEC Form 10K 1972-1980, USBM Mineral Yearbooks"	1982	"7,500,000"	short t	no	no	no	no	6.60		New Jersey Zinc SEC Form 10K 1980	Resource is estimated by deducting 1981-1982 production from 7/31/80 reserve.		"12,300"	no	no	no	no	748	"6,800"	no	no	no	no	449	MVTD	EC05	01	039				
Grace	Grace	Berks	PA	-75.882	40.172	18d	"Skarn, Fe "			Fe skarn	1948	1958-1977	"45,000,000"	short t	unk	unk	unk	no	no	Iron	"Smith, R.C., II, written communication, 1997; Sims, 1968"	1977	unk		unk	unk	>0.06	neg	neg	Cobalt	"Smith, R.C., II, written communication, 1997; Sims, 1968"	"Ore contained 0.06% Cu which was partly recovered.  When mine shut down, drilling had found a significant extension that was much thicker and higher in Cu grade than the portion of the deposit mined."		"41,000"	unk	unk	unk	no	no	unk	unk	unk	unk	neg	neg								
Barite Hill	Lincolnton-McCormick	McCormick	SC	-82.294	33.874	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1835	1853-1994	"2,230,000"	short t	"98,700"	">108,209"	no	no	no		"Koschman and Bergendahl, 1968; Consolidated Nevada Goldfields Ann. Repts. 1991-1994"	1994	"261,200"	short t	0.05	unk	no	no	no		Consolidated Nevada Goldfields 1994 Annual Report		Consolidated Nevada Goldfields	"2,000"	3	3	no	no	no	237	0.4	unk	no	no	no	KVMS	SA07	01	683				Consolidated Nevada Goldfields SEC Form 10K
Brewer		Chesterfield	SC	-80.417	34.650	25e	"Epithermal vein, quartz-alunite"			Epithermal quartz-alunite Au	1828	1829-1991	unk		"156,000"	unk	no	no	no		"Scheetz and others, 1991; Farmer, 1991, Costain Group Annual Report 1987-1989"	1991	"6,900,000"	short t	0.04	unk	no	no	no		"Farmer, 1991"	 	Costain Minerals	unk	5	unk	no	no	no	"6,300"	8	unk	no	no	no	QZAL	SA10	01	684	Shut down 1994	Reclaimed 1997		
Haile		Lancaster	SC	-80.543	34.578	25a	Hot-spring Au-Ag				1827	1829-1992	"3,809,500"	short t	"364,824"	">100,949"	no	no	no	"Sericite, pyrites"	"Piedmont Mining Co. SEC Forms 10K 1987-1991; Speer and Maddry, 1993"	1994	"8,736,000"	short t	0.09	unk	no	no	no		Amax Gold 1994 SEC Form 10K	 	Amax Gold	"3,456"	11	>3	no	no	no	"7,925"	24	unk	no	no	no	HTSG	SA15	03	687	Shut down 1991		Yes	Amax Gold SEC Form 10K
Ridgeway		Fairfield	SC	-80.875	34.266	25a	Hot-spring Au-Ag 				1969	1988-1996	"41,000,000"	short t	"1,157,000"	unk	no	no	no		RTZ Corp. 1989-1996 SEC Form 20-F	1996	"12,500,000"	metric t	1.10	unk	no	no	no		RTZ Corp. 1996 SEC Form 20F	Production tonnage estimated in part.	Rio Tinto	"37,000"	36	unk	no	no	no	"12,500"	14	unk	no	no	no	HTSG	SA15	04	688	Yes			Rio Tinto SEC Form 20F
"Bald Mountain (Wharf, Trojan, Portland)"	Portland	Lawrence	SD	-103.842	44.344	22b	Alkaline Au-Te			Au-Ag-Te vein	1877	1877-1995	">34,100,000"	short t	"1,585,184"	">1,450,000"	no	no	no		"Allsman, 1940; Norton, 1974; Wharf Resources SEC Form 10K 1983-1995"	1995									Wharf Resources 1995 SEC Form 10K	"Resource put at 1,817,000 oz Au permitted and unpermitted."	Wharf Resources	">34,100"	49	>45	no	no	no	unk	57	unk	no	no	no	ALKG	NR16	03	325	Yes			
"Cloverleaf (Uncle Sam, Anaconda)"	Roubaix	Lawrence	SD	-103.650	44.283	35b	Homestake stratiform Au			Stratabound Au in iron formation	1878	1878-1937	"220,931"	short t	"43,885"	>299	no	no	no		"Allsman, 1940"	1991	unk		unk	unk	no	no	no		"AMH 1996, entry for Pima Mining"	"Production estimated. Resource given as >400,000 oz Au."	Pima Mining NL	200	1	neg	no	no	no	unk	12	unk	no	no	no	HMAS	NR49	02	353				
Deadwood Gulch	Whitewood	Lawrence	SD	-103.732	44.377	39a	Placer Au-PGE				1875	1875-1880			"193,500"	unk	no	no	no		"Lincoln and others, 1937; Connolly and O'Harra, 1929"														6	unk	no	no	no	unk	unk	unk	no	no	no	PLAC	PLAC	34	499				
Gilt Edge	Gilt Edge	Lawrence	SD	-103.764	44.328	22b	Alkaline Au-Te			Au-Ag-Te vein	1879	1879-1996	">7,200,000"	short t	"247,570"	"235,531"	neg	no	no		"Allsman, 1940; USBM Production Data 1939-1942; MinVen Gold SEC Form 10K 1988-1992; Dakota Mining SEC Form 10K 1993-1996"	1996	"52,781,000"	short t	0.04	unk	no	no	no		Dakota Mining 1996 SEC Form 10K	Production before 1942 estimated in part.  Resource includes oxide and sulfide ores.	Dakota Mining	">6,500"	8	7	neg	no	no	"47,900"	61	unk	no	no	no	ALKG	NR16	05	327	Yes			Dakota SEC Form 10K
Golden Reward	Ruby Basin	Lawrence	SD	-103.806	44.331	22b	Alkaline AuTe			Au-Ag-Te vein	1877	1887-1996	">11,600,000"	short t	"926,426"	">1,144,095"	neg	neg	no		"Allsman, 1940; MinVen Gold SEC Form 10K 1989-1992; Dakota Mining SEC Form 10K 1993-96"	1996	"6,400,000"	short t	0.04	unk	no	no	no		Dakota Mining 1996 SEC Form 10K	Production before 1901 estimated. Resource includes encumbered and unpermitted material.	Dakota Mining - Wharf Resources	">10,600"	29	>36	neg	neg	no	"5,800"	8	unk	no	no	no	ALKG	NR16	04	326	Yes			Dakota SEC Form 10K
Homestake 	Whitewood	Lawrence	SD	-103.770	44.360	36b	Homestake stratiform Au			Stratabound Au in iron formation	1876	1876-1996	">160,571,000"	short t	"39,768,212"	"8,997,092"	no	no	no	Tungsten	"Slaughter, 1968; Homestake Annual Reports and SEC Form 10K, 1966-1996"	1996	"23,754,000"	short t	0.20	unk	no	no	no		Homestake 1996 SEC Form 10K		Homestake	">146,000"	"1,237"	280	no	no	no	"21,550"	145	unk	no	no	no	HMAS	NR49	01	352	Yes			Homestake SEC Form 10K; www.homestake.com
Johnson Gulch	Ragged Top	Lawrence	SD	-103.900	44.350	22b	Alkaline Au-Te			Au-Ag-Te vein	1896	1896-1917	unk		"60,598"	unk	no	no	no		"Montri and Paterson, 1990"	1989	"6,500,000"	short t	0.04	unk	no	no	no		"AMH 1996, entry for Naneco Minerals"		Naneco Minerals	unk	2	unk	no	no	no	"5,900"	8	unk	no	no	no	ALKG	NR16	02	324				
Keystone Consolidated	Keystone	Pennington	SD	-103.378	43.899	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1892	1893-1931	"227,933"	short t	"83,215"	">1,059"	no	no	no	Arsenic	"Allsman, 1940"	1931	"1,405,000"	short t	0.31	unk	no	no	no		"Allsman, 1940"		Keystone Consolidated	207	3	>0.03	no	no	no	"1,275"	14	unk	no	no	no								
Lower Whitewood Creek	Whitewood	Lawrence	SD	-103.700	44.400		Tailings	39a	Placer Au-PGE		N/A	no	no		no	no	no	no	no			1989	"14,220,000"	short t	0.05	unk	no	no	no		NM 4/17/95	Tailings also contain 0.15 to 3.0% As and some Hg.	Goldstake - Homestake	no	no	no	no	no	no	"12,900"	22	unk	no	no	no	NONE	NONE	19	270				
Maitland	Whitewood	Lawrence	SD	-103.795	44.391	22b	Alkaline Au-Te			Au-Ag-Te vein	by 1902	1902-1942	"461,641"	short t	"140,578"	"83,336"	no	no	no		"Allsman, 1940; USBM Minerals Yearbook, 1938-1942"												Canyon Corp.	419	4	3	no	no	no														
Mogul (Horseshoe)	Ruby Basin	Lawrence	SD	-103.819	44.325	22b	Alkaline Au-Te			Au-Ag-Te vein	1877	1893-1917	">907,527"	short t	"300,000"	">441,000"	no	no	no		"Allsman, 1940"	1919	"500,000 to 1,000,000"	short t	0.20 to 0.23	unk	no	no	no		"Allsman, 1940"		Wharf Resources	>823	9	>14	no	no	no	450	3	unk	no	no	no								
Richmond Hill	Carbonate	Lawrence	SD	-103.856	44.383	22b	Alkaline Au-Te			Au-Ag-Te vein	by 1983	1989-1993	"4,932,000"	short t	"167,852"	"214,210"	no	no	no		Lac Minerals SEC Form 10K/20F 1989-93	1992	"277,000"	short t	0.06	0.07	no	no	no		Lac Minerals 1992 SEC Form 10K	Remaining resource at end 1992.	Barrick Gold	"4,500"	5	7	no	no	no	251	0.5	0.6	no	no	no	ALKG	NR16	01	323	Shut down 1994			
Wasp No. 2	Yellow Creek	Lawrence	SD	-103.378	44.324	22b	Alkaline Au-Te			Au-Ag-Te vein	1893	1893-1922	">1,175,922"	short t	"129,819"	">158,780"	no	no	no	Tungsten	"Allsman, 1940; Clow, 1985"												Homestake	">1,100"	4	>5	no	no	no														
Copper Ridge	Copper Ridge	"Grainger, Hancock, Hawkins"	TN	-83.350	36.400	32	Mississippi Valley	32b	Appalachian Zn	Mississippi Valley-type Pb-Zn	by 1920	1959-1981	"6,000,000"	short t	no	no	no	no	"380,000,000"	"Cadmium, limestone, dolomite"	"Estimated from New Jersey Zinc SEC Form 10K and production tonnages reported in World Mining, Annual Survey Issue, 1959-1981; Substantial unreported production from 1982 to 1996."	1997	"6,100,000"	metric t	no	no	no	no	3.20	Cadmium	Savage Zinc 1997 Annual Report	Does not include remaining resource for Idol (Asarco) mine.	Savage Zinc - Asarco	"5,400"	no	no	no	no	172	"6,100"	no	no	no	no	195	MVTD	EC05	03	041				
Central Tennessee	Central Tennessee	"Jackson, Smith, Trousdale"	TN	-85.934	36.197	32	Mississippi Valley	32b	Appalachian Zn	Mississippi Valley-type Pb-Zn	1967	1975-1995	"21,000,000"	short t	no	no	no	no	"1,300,000,000"	"Cadmium, germanium, limestone, dolomite, sulfuric acid"	Estimated from New Jersey Zinc/Union Zinc SEC Form 10K/Annual Reports	1997	"34,100,000"	metric t	no	no	no	no	3.20	Cadmium; 0.002% Ge	Savage Zinc 1997 Annual Report	Reserves at Gordonsville and satellite deposits.  Carthage in 1978 estimated to have 50 to 75 million short t ore with 3.5 to 5.2% Zn.  Does not include significant resources at Gainsboro and Roaring River deposits.	Savage Zinc	"19,000"	no	unk	no	no	590	"34,100"	no	no	no	no	"1,091"	MVTD	EC03	01	038	Yes			Savage Resources annual report; www.svr.com.au
Ducktown	Ducktown (Copperhill)	Polk	TN	-84.366	35.032	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1843	1831-1987	">80,000,000"	short t	"16,776"	"15,722,000"	"1,551,680,000"	neg	">150,736,000"	"Pyrites, sulfuric acid, iron sinter"	"Slater, 1982, USBM Minerals Yearbooks, Ducktown C&I and Tennessee Copper Co. Annual Reports"											 	Boliden	">73,000"	0.5	489	704	neg	>68							BVMS	SA03	02	679				
Embreeville	Embreeville	Washington	TN	-82.483	36.167	32	Mississippi Valley	32b	Appalachian Zn	Mississippi Valley-type Pb-Zn	by 1839	1913-1951	"579,000"	short t	no	no	no	"35,666,000"	"161,524,000"		"USBM Mineral Yearbooks, USBM Production Data"	1953	"1,053,000"	short t	no	no	no	no	9.00		"Wisser, 1953"	All of past production and most of resource consists of carbonate ore.  Sulfide resources not fully explored as of 1953.		525	no	no	no	16	73	955	no	no	no	no	86	MVTD	EC05	03					
Mascot-Jefferson City	Mascot-Jefferson City	"Knox, Jefferson"	TN	-83.350	36.400	32	Mississippi Valley	32b	Appalachian Zn	Mississippi Valley-type Pb-Zn	by 1890	1907-1995	">143,000,000"	short t	no	no	no	neg	">5,200,000,000"	"Cadmium, limestone"	"USBM Mineral Yearbooks, Asarco SEC Form 10Ks 1972-1996, New Jersey Zinc SEC Form 10K, 1972-1981, USBM data"	1995	"4,646,000"	short t	no	no	no	neg	3.30	Cadmium	Asarco 1996 SEC Form 10K; Savage Zinc 1996 Annual Report	Production data incomplete.  Excludes about 53 million short t resource reported by Asarco in 1977; does not include resources at Mitchell Bend.	Asarco	">129,000"	no	no	no	neg	">2,400"	"4,215"	no	no	no	neg	138	MVTD	EC05	03		Yes except Jefferson City shut down 10/1996			Asarco SEC Form 10K; www.asarco.com
Sweetwater	Sweetwater	McMinn	TN	-84.542	35.517	32	Mississippi Valley			Mississippi Valley-type Pb-Zn										Barite			"18,300,000"	metric t	no	no	no	no	0.61	7.4% barite; 15.3% fluorite	Robertson Mine-Info; AMH 1997 entry for Silverspar Minerals		Silverspar Resources	no	no	no	no	no	no	"23,700"	no	no	no	no	145							Being promoted	www.shore-net/~icorporate/silverspar
Cave Peak		Culberson	TX	-104.887	31.440	16	Climax Mo			Climax Mo	by 1914	no	no		no	no	no	no	no		 	1980	"30,892,000"	short t	no	unk	0.05	no	unk	"0.13% Mo, 0.01% WO3, 0.1% Nb2O3, 0.001% Sn, also Be"	"Long, 1992; Sharp, 1979"	"Additional 200 to 500 million short t resource at depth with 0.05% Cu, 0.2 to 0.3% Mo, 0.1% Nb2O3, 0.008% WO3, and 0.002% Sn."	Draco	no	no	no	no	no	no	">228,000"	no	unk	>105	no	unk	MO	MOCX	01	238				
Hazel	Van Horn-Allamoore	Hudspeth	TX	-104.900	31.170		Unclassified	22c	"Vein, polymetallic"	Polymetallic vein and replacement	by 1856	1880-1947	"110,000"	short t	neg	"4,000,000"	"1,500,000"	neg	neg		"Price and others, 1985"											 	 	100	neg	124	1	neg	neg			 	 			NONE	NONE	45	296				
Presidio	Shafter	Presidio	TX	-104.330	29.810	19a	Polymetallic replacement			Polymetallic vein and replacement	1880	1885-1947	"2,332,000"	short t	">6,086"	"29,870,000"	neg	"78,877,000"	">330,000"		"Evans, 1975; Henderson, 1943; Ross, 1943"	1985	">10,000,000"	short t	unk	5.00	unk	unk	unk		"Long, 1992"		 	"2,116"	0.19	929	neg	36	neg	">9,000"	unk	"1,555"	unk	unk	unk	PMR1	CR19	01	012				
Apex (Dixie)	Tutsagubet	Washington	UT	-113.802	37.067	32c	Kipushi Cu-Pb-Zn		Colorado Plateau breccia pipe; Mississippi Valley Pb-Zn; Polymetallic replacement		1883	1884-1962	">19,200"	short t	54	"183,653"	"15,864,689"	"949,733"	"138,000"		"Perry and McCarthy, 1977; Stowe, 1975"	1983	"242,768"	short t	neg	1.21	1.63	0.77	1.58	"0.064% Ge, 0.032% Ga, 0.50% As"	"Bernstein, 1986"	"Surface dumps contained 50,000 short t material with 0.037% Ge, 0.019% Ga, and 1.55% Cu in 1983."	"Cominco, Preussag"	>17	neg	6	7	neg	neg	220	neg	9	4	2	4	NONE	NONE	32	283			Yes	
Barneys Canyon - Melco	West Mountain	Salt Lake	UT	-112.160	40.610	26a.1	Sediment-hosted Au	19c	Distal disseminated Ag-Au	Sediment-hosted Au	1985	1989-1996	"12,700,000"	short t	"750,000"	unk	no	no	no		"RTZ Corp. SEC Form 20-F, 1990-96"	1996	"8,800,000"	metric t	2.47	unk	no	no	no		RTZ Corp. SEC Form 20F 1996		Rio Tinto	"11,500"	23	unk	no	no	no	"8,800"	22	unk	no	no	no	SEDG	GB31	"02
03"	"198
199"	Yes			Rio Tinto SEC Form 20F
Bingham Canyon	West Mountain	Salt Lake	UT	-112.140	40.540	21a	Porphyry Cu-Mo	18a	"Porphyry Cu, skarn related"	Porphyry Cu	by 1887	1904-1996	"2,110,029,000"	short t	"21,586,000"	">123,569,000"	"31,196,663,000"	no	no	">496,706,000 lbs molybdenum"	"Kennecott Annual Reports 1951-1970; Kennecott SEC Form 10K 1971-1980; BP SEC Form 20F 1980-89; RTZ Corp. SEC Form 20F 1990-96; Stowe, 1975; Tooker, 1990; USBM Minerals Yearbooks 1910-1957"	1996	"903,000,000"	metric t	0.36	2.85	0.59	no	no	0.027% Mo	RTZ Corp. SEC Form 20F 1996	"Harrison and Reid, 1997, estimate that production includes 100 million short t skarn ore with 0.009 opt Au, and 0.75% Cu, and resources include 50 million short t skarn with 0.012 opt Au and 0.62% Cu. "	Rio Tinto	"1,914,187"	671	">3,843"	"14,151"	no	no	"903,000"	325	"2,574"	"5,328"	no	no	PCU2	GB11	01	061	Yes			Rio Tinto SEC Form 20F
Bingham Canyon	West Mountain	Salt Lake	UT	-112.140	40.540	18b	"Skarn, Cu"	18a	"Porphyry Cu, skarn related"	"Cu, Au, and Pb-Zn skarn"	1860	1897-1981	"14,802,836"	short t	"1,110,000"	"23,388,000"	"633,561,000"	no	no		"Krahulec, 1997"	1996	"382,777,000"	short t	0.02	0.35	1.85	no	no	0.015% Mo	"Krahulec, 1997"	Resource at Carr Fork and North Ore Shoot.	Rio Tinto	"13,429"	35	728	287	no	no	"347,250"	250	"4,167"	"6,424"								Under long-term development		Rio Tinto SEC Form 20F
Bingham Canyon	West Mountain	Salt Lake	UT	-112.140	40.540	19a	Polymetallic replacement			Polymetallic vein and replacement	1860	1868-1972	"32,815,864"	short t	"1,345,450"	"119,777,904"	"249,400,000"	"4,462,958,000"	"1,837,688,000"		"Krahulec, 1997"	1993	"4,000,000 to 6,000,000"	short t	0.04	5.00	unk	8.60	6.60		Estimate by Utah Geological Survey	Resource tonnage estimated; grades for resource are typical of past production.  Resource mostly in Lark-U.S. mine.	Rio Tinto	"29,770"	42	"3,726"	113	"2,024"	834	"3,600 to 5,400"	5 to 7.5	622 to 933	sig	312 to 468	240 to 359	PCU2	GB11	01	061				
Bingham Canyon	West Mountain	Salt Lake	UT	-112.147	40.542	39a	Placer Au-PGE				1864	1864-1935			"~75,000"	"~13,000"	no	no	no		"Johnson, 1973b; Boutwell, 1905"												Rio Tinto		2	0.4	no	no	no							PLAC	PLAC	47	512				
Clifton	Gold Hill (Clifton)	Tooele	UT	-113.800	40.167	22c	"Vein, polymetallic?"		Skarn Au	Polymetallic vein and replacement	1858	1892-1961	">210,000"	short t	"25,865"	"832,345"	"34,680,000"	"10,942,000"	"30,000"	"Tungsten, arsenic"	"Butler and others, 1920; Nolan, 1935; Stowe, 1975"	1987	"3,100,000"	short t	0.07	13.30	no	no	no		Randol 1996		American Consolidated Mining	>191	0.8	26	16	5	neg	"2,800"	7	"1,282"	no	no	no					?			
Crypto	Fish Springs	Juab	UT	-113.450	39.860	18c	"Skarn, Zn-Pb"			"Cu, Au, and Pb-Zn skarn"	1970s		no		no	no	no	no	no			1980	"19,071,000"	short t	neg	0.37	0.27	0.21	6.20	0.054% Cd	"Randol, 1996; Lindsey and others, 1989"		Noble Peak Resources	no	no	no	no	no	no	"17,300"	neg	220	47	36	"1,073"	SKZ1	GB04	02	052			Being promoted	
Diamond Gulch	Tintic	Juab	UT	-112.120	39.871		Unclassified				by 1967		no		no	no	no	no	no			1967	"40,000,000"	short t	unk	unk	0.16	unk	unk		"Krahulec, 1996"	Chalcocite enrichment blanket derived from underlying polymetallic veins.		no	no	no	no	no	no	"36,000"	unk	unk	58	unk	unk								
Drum	Detroit (Drum)	Juab	UT	-112.990	39.550	19c	Distal disseminated Ag-Au	19a	Polymetallic replacement		1981	1983-1990	"3,751,000"	short t	"74,000"	"21,000"	no	no	no		"D. Harshorn, Jumbo Mining, oral commun. 1997"	1997	"150,000 to 400,000"	short t	0.04 to 0.06	unk	no	no	no		"D. Harshorn, Jumbo Mining, personal commun. 1997"		Jumbo Mining	"3,400"	2	1	no	no	no	140 to 360	0.19 to 0.75					PMR1	GB16	05	072	Shut down 1987	Being permitted		
Escalante	Escalante	Washington	UT	-113.810	37.650	25c	"Epithermal vein, Comstock"			"Creede, Comstock and Sado epithermal veins"	1896	1935-1990	"2,852,427"	short t	"4,249"	"18,150,128"	no	no	no		Ranchers SEC Form 10K 1981-83; Hecla SEC Form 10K 1984-90; Utah Geological Survey											Reserves depleted.	Hecla	"2,588"	0.1	565	no	no	no							QZAD	GB24	02	121	Shut down			
Fish Springs	Fish Springs	Juab	UT	-113.456	39.857	22c	"Vein, polymetallic"	19a	Polymetallic replacement	Polymetallic vein and replacement	1890	1891-1953	"20,303"	short t	508	"2,658,220"	"5,366"	"17,292,796"	"2,800"		"Lindsey and others, 1989"		"165,000"	short t	unk	3.00	unk	unk	unk		Utah Geological Survey	Resource in old dumps.		18	0.02	83	neg	8	neg	150	unk	15	unk	unk	unk								
