State,County,Claims,Latitude,Longitude,MTRS
California,El Dorado,3,38.5903325530001,-120.565828791,21 0090N 0130E 032
California,El Dorado,3,38.590353996,-120.547179519,21 0090N 0130E 033
California,El Dorado,2,38.590009621,-120.528630159,21 0090N 0130E 034
California,El Dorado,1,38.661285863,-120.412008696,21 0090N 0140E 003
California,El Dorado,2,38.662151619,-120.43042705299999,21 0090N 0140E 004
California,El Dorado,1,38.6176389610001,-120.45023019700001,21 0090N 0140E 020
California,El Dorado,2,38.6175042460001,-120.41356735299999,21 0090N 0140E 022
California,El Dorado,2,38.6034253400001,-120.414042722,21 0090N 0140E 027
California,El Dorado,2,38.6031344400001,-120.43241129399999,21 0090N 0140E 028
California,El Dorado,1,38.604062443000004,-120.470566428,21 0090N 0140E 030
California,El Dorado,2,38.589311131,-120.47127052,21 0090N 0140E 031
California,El Dorado,1,38.646517944,-120.356862098,21 0090N 0150E 007
California,El Dorado,1,38.645353943,-120.32053623200001,21 0090N 0150E 009
California,El Dorado,2,38.630591857000105,-120.321536875,21 0090N 0150E 016
California,El Dorado,1,38.616206948000105,-120.303958119,21 0090N 0150E 022
California,El Dorado,1,38.6016857910001,-120.26895050200001,21 0090N 0150E 025
California,El Dorado,3,38.5882451190001,-120.32315137299999,21 0090N 0150E 033
California,El Dorado,5,38.5879990450001,-120.30525142100001,21 0090N 0150E 034
California,El Dorado,2,38.5876998150001,-120.28742035100001,21 0090N 0150E 035
California,El Dorado,1,38.601565576999995,-120.232692752,21 0090N 0160E 029
California,El Dorado,1,38.6015727810001,-120.2509972,21 0090N 0160E 030
California,El Dorado,1,38.5873451210001,-120.251807537,21 0090N 0160E 031
California,El Dorado,2,38.707130497,-121.105595202,21 0100N 0080E 021
California,El Dorado,1,38.721975349000004,-120.956861359,21 0100N 0090E 014
California,El Dorado,1,38.7489247990001,-120.881296541,21 0100N 0100E 004
California,El Dorado,2,38.7490009030001,-120.91879727799999,21 0100N 0100E 006
California,El Dorado,6,38.7337012940001,-120.639902165,21 0100N 0120E 010
California,El Dorado,4,38.705144482,-120.694951594,21 0100N 0120E 019
California,El Dorado,2,38.7180286130001,-120.507315535,21 0100N 0130E 014
California,El Dorado,1,38.7174576950001,-120.52626935299999,21 0100N 0130E 015
California,El Dorado,1,38.70221981,-120.545233504,21 0100N 0130E 021
California,El Dorado,1,38.68772105900009,-120.547139075,21 0100N 0130E 028
California,El Dorado,1,38.6741491280001,-120.546874495,21 0100N 0130E 033
California,El Dorado,2,38.674477084,-120.52806218,21 0100N 0130E 034
California,El Dorado,4,38.6763035290001,-120.50849959799999,21 0100N 0130E 035
California,El Dorado,2,38.7342382470001,-120.409400176,21 0100N 0140E 010
California,El Dorado,1,38.6770976940001,-120.44855289799999,21 0100N 0140E 032
California,El Dorado,2,38.6768814440001,-120.43001556600001,21 0100N 0140E 033
California,El Dorado,2,38.676267974,-120.41152689799999,21 0100N 0140E 034
California,El Dorado,1,38.67514499200011,-120.392981551,21 0100N 0140E 035
California,El Dorado,1,38.701488145,-120.210842216,21 0100N 0160E 021
California,El Dorado,1,38.701168785,-120.192794339,21 0100N 0160E 022
California,El Dorado,1,38.687166022,-120.192822781,21 0100N 0160E 027
California,El Dorado,1,38.834242655,-121.016576532,21 0110N 0090E 006
California,El Dorado,4,38.8196481360001,-120.960210844,21 0110N 0090E 010
California,El Dorado,3,38.7617058050001,-120.99746380399999,21 0110N 0090E 032
California,El Dorado,2,38.8309042750001,-120.83077798,21 0110N 0100E 002
California,El Dorado,1,38.8316090500001,-120.849134055,21 0110N 0100E 003
California,El Dorado,4,38.816710395,-120.84924891200001,21 0110N 0100E 010
California,El Dorado,1,38.8026591710001,-120.84949718799999,21 0110N 0100E 015
California,El Dorado,4,38.787721183,-120.81160230799999,21 0110N 0100E 024
California,El Dorado,1,38.8299507730001,-120.757639364,21 0110N 0110E 004
California,El Dorado,1,38.814807075,-120.738197598,21 0110N 0110E 010
California,El Dorado,6,38.7869888930001,-120.773473989,21 0110N 0110E 020
California,El Dorado,1,38.785739471999996,-120.717852577,21 0110N 0110E 023
California,El Dorado,1,38.771983823,-120.716473005,21 0110N 0110E 026
California,El Dorado,2,38.7726679950001,-120.753591484,21 0110N 0110E 028
California,El Dorado,1,38.7732130520001,-120.79135929,21 0110N 0110E 030
California,El Dorado,1,38.829396214,-120.60480091,21 0110N 0120E 002
California,El Dorado,1,38.8298616590001,-120.680780857,21 0110N 0120E 006
California,El Dorado,1,38.815060421999995,-120.680484438,21 0110N 0120E 007
California,El Dorado,1,38.815265814,-120.66004635700001,21 0110N 0120E 008
California,El Dorado,2,38.814602468000004,-120.586577831,21 0110N 0120E 012
California,El Dorado,2,38.808853539,-120.56808915799999,21 0110N 0130E 007
California,El Dorado,2,38.780380038000004,-120.473933851,21 0110N 0130E 024
California,El Dorado,1,38.769374274,-120.472105364,21 0110N 0130E 025
California,El Dorado,2,38.766042752,-120.49353340399999,21 0110N 0130E 026
California,El Dorado,1,38.7652542880001,-120.518770527,21 0110N 0130E 027
California,El Dorado,1,38.7658578690001,-120.536540359,21 0110N 0130E 028
California,El Dorado,1,38.770305457000106,-120.55289770799999,21 0110N 0130E 029
California,El Dorado,2,38.7723245230001,-120.25837527200001,21 0110N 0160E 030
California,El Dorado,1,38.8160379650001,-120.052948826,21 0110N 0170E 012
California,El Dorado,1,38.9181941960001,-120.84768553100001,21 0120N 0100E 003
California,El Dorado,2,38.8901979620001,-120.849493001,21 0120N 0100E 015
California,El Dorado,1,38.891139820999996,-120.88616575,21 0120N 0100E 017
California,El Dorado,1,38.8757193800001,-120.84957108,21 0120N 0100E 022
California,El Dorado,4,38.918789980999996,-120.73728344700001,21 0120N 0110E 003
California,El Dorado,1,38.903987634,-120.773736661,21 0120N 0110E 008
California,El Dorado,3,38.903621517,-120.736908391,21 0120N 0110E 010
California,El Dorado,2,38.889080901999996,-120.73708890399999,21 0120N 0110E 015
California,El Dorado,1,38.8746106070001,-120.737297384,21 0120N 0110E 022
California,El Dorado,1,38.873795853000004,-120.70056138,21 0120N 0110E 024
California,El Dorado,1,38.8597607880001,-120.700496351,21 0120N 0110E 025
California,El Dorado,2,38.860596054,-120.73810326600001,21 0120N 0110E 027
California,El Dorado,1,38.860835394,-120.75724807200001,21 0120N 0110E 028
California,El Dorado,1,38.8460220790001,-120.77563465899999,21 0120N 0110E 032
California,El Dorado,1,38.8461223150001,-120.757482971,21 0120N 0110E 033
California,El Dorado,2,38.846103090999996,-120.73915221200001,21 0120N 0110E 034
California,El Dorado,1,38.85913675400009,-120.641085141,21 0120N 0120E 028
California,El Dorado,1,38.844355857,-120.64170622299999,21 0120N 0120E 033
California,El Dorado,4,38.9981546010001,-120.808008511,21 0130N 0100E 001
California,El Dorado,2,38.98921913,-120.826715184,21 0130N 0100E 011
California,El Dorado,3,38.9322518000001,-120.847684325,21 0130N 0100E 034
California,El Dorado,1,38.9899174230001,-120.777140393,21 0130N 0110E 008
California,El Dorado,6,38.990747233,-120.717584696,21 0130N 0110E 011
California,El Dorado,2,38.977001548000004,-120.717464007,21 0130N 0110E 014
California,El Dorado,1,38.976860581,-120.738286747,21 0130N 0110E 015
California,El Dorado,2,38.9607972850001,-120.79261334799999,21 0130N 0110E 019
California,El Dorado,1,38.961605589,-120.77564452799999,21 0130N 0110E 020
California,El Dorado,2,38.9481308200001,-120.73758207200001,21 0130N 0110E 027
California,El Dorado,1,38.946881219,-120.793041404,21 0130N 0110E 030
California,El Dorado,2,38.9632017490001,-120.491884465,21 0130N 0130E 023
California,El Dorado,2,38.948444722,-120.492768225,21 0130N 0130E 026
California,El Dorado,1,39.01435588800009,-120.76863625,21 0140N 0110E 032
California,El Dorado,4,39.0154963890001,-120.750877247,21 0140N 0110E 033
California,El Dorado,24,39.200025275,-121.43653967899999,21 0160N 0050E 032
California,Fresno,1,37.360048056,-119.246510858,21 0060S 0250E 033
California,Fresno,1,37.359850861,-119.22825214,21 0060S 0250E 034
California,Fresno,2,37.359657708,-119.21000379200001,21 0060S 0250E 035
California,Fresno,2,37.359485736000096,-119.191841333,21 0060S 0250E 036
California,Fresno,1,37.3637369080001,-119.16524497399999,21 0060S 0260E 031
California,Fresno,2,37.317315161000096,-119.318771715,21 0070S 0240E 014
California,Fresno,2,37.3177228170001,-119.336483947,21 0070S 0240E 015
California,Fresno,4,37.303202397000106,-119.33660188,21 0070S 0240E 022
California,Fresno,1,37.2884702850001,-119.31878776100001,21 0070S 0240E 026
California,Fresno,2,37.2888619570001,-119.33659095799999,21 0070S 0240E 027
California,Fresno,4,37.27453898,-119.33657654,21 0070S 0240E 034
California,Fresno,2,37.2741243150001,-119.31875759999998,21 0070S 0240E 035
California,Fresno,1,37.345171586,-119.17403308200001,21 0070S 0260E 006
California,Fresno,2,37.2608042910001,-119.318609635,21 0080S 0240E 002
California,Fresno,2,37.2185263370001,-119.3364154,21 0080S 0240E 022
California,Fresno,2,37.204061261999996,-119.336113375,21 0080S 0240E 027
California,Fresno,2,37.189398145,-119.353974272,21 0080S 0240E 033
California,Fresno,2,37.1895049460001,-119.33564322,21 0080S 0240E 034
California,Fresno,2,37.1337969900001,-119.54194205200001,21 0090S 0220E 023
