Mine,County,Elevation,Commodity,Latitude,Longitude,MRDS
North Lincoln,Amador,1299 Feet,Gold,38.3975,-120.80530,10211525
Somerset,Amador,na,Gold,38.41944,-120.56722,10028364
Golden Gate,Amador,na,Gold,38.46833,-120.60417,10028306
Littlefield,Amador,na,Gold,38.29472,-120.75361,10028202
Middle Bar Group,Amador,na,Gold,38.30222,-120.75139,10028189
Dredge Tailings,Amador,na,Gold,38.47972,-120.82278,10028138
Red Oak,Amador,1050 Feet,Gold,38.47028,-120.84222,10028133
Wonder,Amador,na,Gold,38.41917,-120.82028,10028120
Unidentified Workings,Amador,na,Gold,38.29361,-120.81444,10091936
West Somerset,Amador,na,Gold,38.43194,-120.56694,10028351
Penavita,Amador,3399 Feet,Gold,38.4742,-120.50190,10114439
Goat Ranch Part of Golden Gate Cons,Amador,na,Gold,38.54889,-120.84611,10028122
McKinney and Crannis,Amador,na,Gold,38.29333,-120.75472,10028204
Farrell,Amador,600 Feet,Gold,38.29111,-120.75333,10028203
Ama Oro,Amador,2441 Feet,Gold,38.44639,-120.64139,10095066
Dredge Tailings,Amador,1201 Feet,Gold,38.47972,-120.82278,10076475
Katherine and Adeline,Amador,2402 Feet,Gold,38.41806,-120.56722,10028359
Alpine Wheeler,Amador,1099 Feet,Gold,38.48333,-120.84722,10028097
Amador Gold,Amador,na,Gold,38.33056,-120.75333,10034496
Red Crown,Amador,na,Gold,38.33028,-120.75222,10095061
No. 1 and No. 2,Amador,na,Gold,38.395,-120.78778,10097008
Eureka No. 2,Amador,na,Gold,38.45306,-120.83806,10095051
Forty Nine,Amador,899 Feet,Gold,38.46111,-120.84139,10097006
Dredge Tailings,Amador,na,Gold,38.29722,-120.89889,10091934
Big Gulch,Amador,na,Gold,38.49111,-120.66361,10028301
Ludekins,Amador,na,Gold,38.44889,-120.63417,10028298
Unknown,Amador,na,Gold,38.345,-120.67889,10028297
South Jackson,Amador,1401 Feet,Gold,38.34167,-120.76361,10028252
Dowling,Amador,na,Gold,38.34528,-120.76139,10028249
Volunteer,Amador,na,Gold,38.36361,-120.78417,10028242
Sunset,Amador,na,Gold,38.35472,-120.80528,10028235
Unknown,Amador,na,Gold,38.35937,-120.77131,10028225
Unknown,Amador,na,Gold,38.43111,-120.86306,10028112
Bona Fortuna,Amador,na,Gold,38.43083,-120.83111,10028110
Unknown,Amador,na,Gold,38.46382,-121.02968,10028047
Caledonia,Amador,2851 Feet,Gold,38.48917,-120.60417,10098217
Dane & Mitchell,Amador,2402 Feet,Gold,38.41778,-120.65972,10028331
Garibaldi Dredge,Amador,na,Gold,38.445,-120.61833,10028323
Podesta,Amador,na,Gold,38.35917,-120.66000,10028295
Black Wonder,Amador,2100 Feet,Gold,38.4,-120.67306,10028290
Mammoth,Amador,na,Gold,38.40306,-120.64167,10028288
