i	dep_id	yr	line	res_nm	res_tp	proved	probable	reserves	meas	indic	demo	infer	tot_resources	tot_endowment	units	best_rec	remrk	inserted_by	insert_date	updated_by	update_date
11518	"10096485"	"1970"	1	""	"In-situ"								1000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11519	"10026718"	"1980"	20	""	"In-situ"								32947000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11520	"10062036"	"1984"	1	""	"In-situ"								200000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11521	"10231281"	"1990"	1	""	"In-situ"				36400		36400		36400		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11522	"10006380"	"1982"	20	""	"In-situ"								138351000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11523	"10022550"	"1974"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11524	"10057602"	"1961"	1	""	"In-situ"				155000000			3283000000			"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11525	"10100552"	"1989"	1	""	"In-situ"								650000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11526	"10305197"	"1983"	1	""	"In-situ"						27000000		27000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11527	"10099522"	"1986"	1	""	"In-situ"								4000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11528	"10197042"	"1970"	1	""	"In-situ"							18143000	19958000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11529	"10096078"	"1986"	1	""	"In-situ"								68000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
11530	"10158182"	"1987"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
11531	"10007895"	"1995"	20	""	"In-situ"								2940600000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11532	"10042483"	"1987"	1	""	"In-situ"								453000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11533	"10106775"	"1981"	26	""	"In-situ"										"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11534	"10106775"	"1980"	24	""	"In-situ"										"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11535	"10106775"	"1973"	22	""	"In-situ"										"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11536	"10106775"	"1972"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11537	"10134390"	"1987"	1	""	"In-situ"					1200000	1200000		1200000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11538	"10134390"	"1986"	3	""	"In-situ"					600000	600000		600000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11539	"10133707"	"1993"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
11540	"10244791"	"1970"	2	""	"In-situ"							90718000	99790000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11541	"10244791"	"1970"	1	""	"In-situ"							31751000	34926000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11542	"10023898"	"1994"	1	""	"In-situ"								125000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
11543	"10081094"	"1977"	20	""	"In-situ"								15000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11544	"10024429"	"1945"	20	""	"In-situ"								13000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11545	"10182357"	"1990"	1	""	"In-situ"				8545000	4100000	12645000		12645000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11546	"10278667"	"1975"	1	""	"In-situ"							5400000	5400000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11547	"10278667"	"1972"	2	""	"In-situ"					3200000	3200000		3200000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11548	"10230171"	"1976"	2	""	"In-situ"				1270000		1270000		1270000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11549	"10133544"	"1991"	3	""	"In-situ"				587543	251564	839107		839107		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
