gid,state,county,ftr_type,ftr_name,ftr_azimut,topo_name,topo_date,topo_scale,compiledby,remarks,gda_id,scanid,dir,longitude,latitude
84142,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09521892099991,41.263682036000034
84198,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.08548398499994,41.25580769800007
84200,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09350249699992,41.25864362100003
84227,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09305511499991,41.26672731800005
84302,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.08822483499989,41.26334122800006
494035,CA,Siskiyou,"Mine Shaft","Tip Top Mine",0,"Sawyers Bar",1955,62500,USGS,,5504417,301651,,-123.09284684599993,41.257584121000036
494982,CA,Siskiyou,"Open Pit Mine","Aromas Mine",0,"Sawyers Bar",1955,62500,USGS,,5504417,301651,,-123.08321647799994,41.293666708000046
495010,CA,Siskiyou,"Open Pit Mine",,0,"Sawyers Bar",1955,62500,USGS,,5504417,301651,,-123.0843201749999,41.29449602500006
489809,CA,Siskiyou,Adit,"Madrone Mine",58,"Sawyers Bar",1955,62500,USGS,,5504417,301651,ne,-123.09601819099993,41.28283876800003
48839,CA,Siskiyou,Adit,"Madrone Mine",89,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.0969260569999,41.28370433300006
489942,CA,Siskiyou,Adit,,82,"Sawyers Bar",1955,62500,USGS,,5504417,301651,e,-123.09613145399993,41.26386209100008
489995,CA,Siskiyou,Adit,,79,"Sawyers Bar",1955,62500,USGS,,5504417,301651,e,-123.09424025699991,41.25653620600008
48452,CA,Siskiyou,Adit,"Uncle Sam Mine",137,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,se,-123.09525413799992,41.26612421400006
48530,CA,Siskiyou,Adit,,202,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.09424426099991,41.26645801700005
489767,CA,Siskiyou,Adit,"Uncle Sam Mine",173,"Sawyers Bar",1955,62500,USGS,,5504417,301651,s,-123.0950502259999,41.26406672400009
48466,CA,Siskiyou,Adit,"Cleaver Mine",242,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,sw,-123.08323004099992,41.25621724800004
48494,CA,Siskiyou,Adit,,246,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,sw,-123.08363077399991,41.256278197000086
48500,CA,Siskiyou,Adit,,254,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,w,-123.0941094449999,41.265609055000084
48725,CA,Siskiyou,Adit,"Hickney Mine",258,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,w,-123.08990058599994,41.25603520300007
48791,CA,Siskiyou,Adit,,273,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,w,-123.08775804099992,41.26609672700005
489616,CA,Siskiyou,Adit,,251,"Sawyers Bar",1955,62500,USGS,,5504417,301651,w,-123.0889273969999,41.262736130000064
489657,CA,Siskiyou,Adit,"Cleaver Mine",251,"Sawyers Bar",1955,62500,USGS,,5504417,301651,w,-123.08561423599991,41.25533505400006
489766,CA,Siskiyou,Adit,,249,"Sawyers Bar",1955,62500,USGS,,5504417,301651,w,-123.08485280799994,41.255624397000076
489827,CA,Siskiyou,Adit,"Hickey Mine",255,"Sawyers Bar",1955,62500,USGS,,5504417,301651,w,-123.08934237499994,41.25663233700004
489841,CA,Siskiyou,Adit,,257,"Sawyers Bar",1955,62500,USGS,,5504417,301651,w,-123.08426079799995,41.255771923000054
48483,CA,Siskiyou,Adit,,303,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,nw,-123.08787236099994,41.26570411500006
48715,CA,Siskiyou,Adit,,305,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,nw,-123.09433728399989,41.264923639000074
489620,CA,Siskiyou,Adit,,294,"Sawyers Bar",1955,62500,USGS,,5504417,301651,nw,-123.0859787689999,41.26544110100008
489647,CA,Siskiyou,Adit,,294,"Sawyers Bar",1955,62500,USGS,,5504417,301651,nw,-123.08690866299992,41.26453785800004
489756,CA,Siskiyou,Adit,,298,"Sawyers Bar",1955,62500,USGS,,5504417,301651,nw,-123.0849641669999,41.268006160000084
60130,CA,Siskiyou,"Open Pit Mine","Annie Johnson Mine",0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.10117688999992,41.26217156200005
60160,CA,Siskiyou,"Open Pit Mine",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.12195413599994,41.26215126100004
60180,CA,Siskiyou,"Open Pit Mine","Judge Mine",0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.12277687799991,41.29715674100004
60181,CA,Siskiyou,"Open Pit Mine",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.1171179509999,41.29419295400004
60197,CA,Siskiyou,"Open Pit Mine",,0,"Sawyers Bar",1979,24000,"CA Dept Conserv",,5523017,295111,,-123.12654131199992,41.26522780100004
60198,CA,Siskiyou,"Open Pit Mine","Finley Mine",0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.11999966299993,41.29795176400006
83827,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.1093195599999,41.25929656300008
83828,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.1209448589999,41.265327607000074
83839,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.10838263799991,41.25767341400007
83845,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.11682097799991,41.25838433800004
83851,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.11806599499994,41.256222533000084
83853,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.10856556999994,41.25811145500006
83854,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.1182926919999,41.256588658000055
83866,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.11919907599992,41.26611462300008
83869,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.11593244799991,41.258955240000034
83876,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.12455337099993,41.25730657100007
83884,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.10637870799991,41.26168863600009
83886,CA,Siskiyou,"Prospect Pit",,0,"Sawyers Bar",1979,24000,"CA Dept Conserv",,5523017,295111,,-123.12802772399994,41.26329456000008
83904,CA,Siskiyou,"Prospect Pit",,0,"Sawyers Bar",1979,24000,"CA Dept Conserv",,5523017,295111,,-123.1268275029999,41.25351845700004
83915,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.12421896599994,41.25339605800008
83918,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.11323436399994,41.257765385000084
83922,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.11861404299992,41.25643903400004
83925,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.11036272399991,41.25958932800006
